Sector,Orbit,Start of Orbit,End of Orbit
1,9,2018-07-25 19:35:00,2018-08-08 00:40:00
1,10,2018-08-09 03:50:00,2018-08-22 16:25:00
2,11,2018-08-23 14:35:00,2018-09-05 15:50:00
2,12,2018-09-07 02:25:00,2018-09-20 00:30:00
3,13,2018-09-21 05:25:00,2018-10-03 22:45:00
3,14,2018-10-05 04:00:00,2018-10-17 21:00:00
4,15,2018-10-19 09:45:00,2018-11-01 00:25:00
4,16,2018-11-02 01:20:00,2018-11-14 08:35:00
5,17,2018-11-15 11:35:00,2018-11-27 16:55:00
5,18,2018-11-29 01:20:00,2018-12-11 19:05:00
6,19,2018-12-12 17:05:00,2018-12-24 12:40:00
6,20,2018-12-25 14:40:00,2019-01-06 13:15:00
7,21,2019-01-08 03:10:00,2019-01-19 13:05:00
7,22,2019-01-21 04:55:00,2019-02-01 14:15:00
8,23,2019-02-02 20:20:00,2019-02-14 13:45:00
8,24,2019-02-15 18:20:00,2019-02-27 12:10:00
9,25,2019-02-28 17:20:00,2019-03-13 01:10:00
9,26,2019-03-14 05:30:00,2019-03-25 23:35:00
10,27,2019-03-26 22:30:00,2019-04-08 07:00:00
10,28,2019-04-09 06:25:00,2019-04-22 04:30:00
11,29,2019-04-23 06:40:00,2019-05-06 04:50:00
11,30,2019-05-07 06:45:00,2019-05-20 09:35:00
12,31,2019-05-21 10:55:00,2019-06-04 12:05:00
12,32,2019-06-05 12:55:00,2019-06-18 09:35:00
13,33,2019-06-19 10:05:00,2019-07-03 04:45:00
13,34,2019-07-04 03:00:00,2019-07-17 20:45:00
14,35,2019-07-18 20:30:00,2019-07-31 21:30:00
14,36,2019-08-01 20:15:00,2019-08-14 17:05:00
15,37,2019-08-15 20:45:00,2019-08-28 08:45:00
15,38,2019-08-29 10:35:00,2019-09-10 22:00:00
16,39,2019-09-12 03:40:00,2019-09-23 20:45:00
16,40,2019-09-25 03:45:00,2019-10-06 19:50:00
17,41,2019-10-08 04:25:00,2019-10-19 19:15:00
17,42,2019-10-21 05:30:00,2019-11-02 04:50:00
18,43,2019-11-03 03:45:00,2019-11-14 22:45:00
18,44,2019-11-15 22:45:00,2019-11-27 12:55:00
19,45,2019-11-28 14:00:00,2019-12-10 12:00:00
19,46,2019-12-11 11:10:00,2019-12-23 15:45:00
20,47,2019-12-25 00:05:00,2020-01-06 08:45:00
20,48,2020-01-07 21:30:00,2020-01-20 07:55:00
21,49,2020-01-21 22:25:00,2020-02-04 12:00:00
21,50,2020-02-05 10:10:00,2020-02-18 06:55:00
22,51,2020-02-19 19:20:00,2020-03-04 00:15:00
22,52,2020-03-05 01:45:00,2020-03-18 00:00:00
23,53,2020-03-19 14:30:00,2020-04-01 09:05:00
23,54,2020-04-02 08:05:00,2020-04-15 09:10:00
24,55,2020-04-16 07:05:00,2020-04-28 20:30:00
24,56,2020-04-29 18:30:00,2020-05-12 18:55:00
25,57,2020-05-14 03:10:00,2020-05-26 03:25:00
25,58,2020-05-27 10:00:00,2020-06-08 19:30:00
26,59,2020-06-09 18:25:00,2020-06-21 16:45:00
26,60,2020-06-22 14:45:00,2020-07-04 15:25:00
27,61,2020-07-05 18:40:00,2020-07-17 15:15:00
27,62,2020-07-18 15:40:00,2020-07-30 03:35:00
28,63,2020-07-31 08:25:00,2020-08-12 11:15:00
28,64,2020-08-13 15:45:00,2020-08-25 14:30:00
29,65,2020-08-26 17:45:00,2020-09-08 21:10:00
29,66,2020-09-09 19:50:00,2020-09-21 22:35:00
30,67,2020-09-23 09:15:00,2020-10-06 15:30:00
30,68,2020-10-07 17:00:00,2020-10-20 17:30:00
31,69,2020-10-22 00:20:00,2020-11-03 23:05:00
31,70,2020-11-05 08:40:00,2020-11-18 12:50:00
32,71,2020-11-19 13:45:00,2020-12-02 10:45:00
32,72,2020-12-03 10:40:00,2020-12-16 17:45:00
33,73,2020-12-18 05:35:00,2020-12-30 08:55:00
33,74,2020-12-31 22:25:00,2021-01-13 01:55:00
34,75,2021-01-14 06:00:00,2021-01-26 09:55:00
34,76,2021-01-27 11:40:00,2021-02-08 13:45:00
35,77,2021-02-09 11:45:00,2021-02-21 15:45:00
35,78,2021-02-23 02:00:00,2021-03-06 11:40:00
36,79,2021-03-07 09:40:00,2021-03-19 08:40:00
36,80,2021-03-20 07:00:00,2021-04-01 11:55:00
37,81,2021-04-02 17:45:00,2021-04-14 12:55:00
37,82,2021-04-15 12:25:00,2021-04-28 02:05:00
38,83,2021-04-29 08:30:00,2021-05-11 20:10:00
38,84,2021-05-12 19:10:00,2021-05-26 01:25:00
39,85,2021-05-27 06:30:00,2021-06-09 08:45:00
39,86,2021-06-10 08:40:00,2021-06-24 05:25:00
40,87,2021-06-25 03:40:00,2021-07-08 21:45:00
40,88,2021-07-09 19:55:00,2021-07-23 08:40:00
41,89,2021-07-24 11:45:00,2021-08-06 02:35:00
41,90,2021-08-07 05:15:00,2021-08-20 02:05:00
42,91,2021-08-21 04:35:00,2021-09-02 19:30:00
42,92,2021-09-03 17:45:00,2021-09-15 16:00:00
43,93,2021-09-16 16:00:00,2021-09-28 15:15:00
43,94,2021-09-29 16:20:00,2021-10-11 09:30:00
